Column1;Season;Episode;Sentence;Name;N_serie;N_Season;Emision Date
127;Season 1;winter is coming;Arya;arya;1;1;17/04/2011
128;Season 1;winter is coming;Ooh Show us your muscles You’ll be a soldier;robert;1;1;17/04/2011
129;Season 1;winter is coming;That’s Jaime Lannister The queen’s twin brother;arya;1;1;17/04/2011
130;Season 1;winter is coming;Would you please shut up;sansa;1;1;17/04/2011
131;Season 1;winter is coming;My queen;ned;1;1;17/04/2011
132;Season 1;winter is coming;My queen;catelyn;1;1;17/04/2011
133;Season 1;winter is coming;Take me to your crypt I want to pay my respects;robert;1;1;17/04/2011
134;Season 1;winter is coming;We’ve been riding for a month, my love Surely the dead can wait;cersei;1;1;17/04/2011
135;Season 1;winter is coming;Ned;robert;1;1;17/04/2011
136;Season 1;winter is coming;Where’s the Imp?;arya;1;1;17/04/2011
137;Season 1;winter is coming;Where is our brother? Go find the little beast;cersei;1;1;17/04/2011
138;Season 1;winter is coming;Tell me about Jon Arryn;ned;1;1;17/04/2011
139;Season 1;winter is coming;One minute he was fine, and then Burned right through him, whatever it was I loved that man;robert;1;1;17/04/2011
140;Season 1;winter is coming;We both did;ned;1;1;17/04/2011
141;Season 1;winter is coming;He never had to teach you much, but me You remember me at 16? All I wanted to do was crack skulls and fuck girls He showed me what was what;robert;1;1;17/04/2011
142;Season 1;winter is coming;Aye;ned;1;1;17/04/2011
143;Season 1;winter is coming;Don’t look at me like that Not his fault I didn’t listen I need you, Ned Down at Kings Landing Not up here, where you’re no damn use to anybody Lord Eddard Stark, I would name you the Hand of the king;robert;1;1;17/04/2011
144;Season 1;winter is coming;I’m not worthy of the honor;ned;1;1;17/04/2011
145;Season 1;winter is coming;I’m not trying to honor you I’m trying to get you to run my kingdom while I eat, drink, and whore my way to an early grave Damn it, Ned, stand up You helped me win the Iron Throne, now help me keep the damn thing We were meant to rule together If your sister had lived, we would have been bound by blood Well, it’s not too late I have a son, you have a daughter We’ll join our Houses;robert;1;1;17/04/2011
146;Season 1;winter is coming;Mmh It is true what they say about the Northern girls;tyrion;1;1;17/04/2011
147;Season 1;winter is coming;Did you hear the king’s in Winterfell?;ros;1;1;17/04/2011
148;Season 1;winter is coming;I did hear something about that;tyrion;1;1;17/04/2011
149;Season 1;winter is coming;And the queen And her twin brother They say that he is the most handsome man in the Seven Kingdoms;ros;1;1;17/04/2011
150;Season 1;winter is coming;And the other brother?;tyrion;1;1;17/04/2011
151;Season 1;winter is coming;The queen has two brothers?;ros;1;1;17/04/2011
152;Season 1;winter is coming;There’s the pretty one And there’s the clever one;tyrion;1;1;17/04/2011
153;Season 1;winter is coming;I hear they call him the Imp;ros;1;1;17/04/2011
154;Season 1;winter is coming;I hear he hates that nickname;tyrion;1;1;17/04/2011
155;Season 1;winter is coming;Oh? I hear he’s more than earned it I hear he’s a drunken little lecher into all manner of perversions;ros;1;1;17/04/2011
156;Season 1;winter is coming;Clever girl;tyrion;1;1;17/04/2011
157;Season 1;winter is coming;We’ve been expecting you, Lord Tyrion;ros;1;1;17/04/2011
158;Season 1;winter is coming;Have you?;tyrion;1;1;17/04/2011
159;Season 1;winter is coming;The gods gave me one blessing;tyrion;1;1;17/04/2011
160;Season 1;winter is coming;Don’t get up;jaime;1;1;17/04/2011
161;Season 1;winter is coming;M’lord;ros;1;1;17/04/2011
162;Season 1;winter is coming;Should I explain to you the meaning of a closed door in a whorehouse, brother?;tyrion;1;1;17/04/2011
163;Season 1;winter is coming;You’ve much to teach me, no doubt But our sister craves your attention;jaime;1;1;17/04/2011
164;Season 1;winter is coming;She has odd cravings, our sister;tyrion;1;1;17/04/2011
165;Season 1;winter is coming;A family trait Now, the Starks are feasting us at sundown Don’t leave me alone with these people;jaime;1;1;17/04/2011
166;Season 1;winter is coming;I’m sorry, I’ve begun the feast a bit early And this is the first of many courses;tyrion;1;1;17/04/2011
167;Season 1;winter is coming;I thought you might say that But since we’re short on time, Come on, girls See you at sundown;jaime;1;1;17/04/2011
168;Season 1;winter is coming;Close the door!Scene changes to the Winterfell crypt, at Lyanna’s tomb;tyrion;1;1;17/04/2011
169;Season 1;winter is coming;Did you have to bury her in a place like this? She should be on a hill somewhere with the sun and the clouds above her;robert;1;1;17/04/2011
170;Season 1;winter is coming;She was my sister This is where she belongs;ned;1;1;17/04/2011
171;Season 1;winter is coming;She belonged with me;robert;1;1;17/04/2011
172;Season 1;winter is coming;In my dreams, I kill him every night;robert;1;1;17/04/2011
